Lng,Lat,Station,Line,Region
113.966813,22.574377,珠光,Line_7,南山
113.981186,22.570305,龙井,Line_7,南山
113.988157,22.566501,桃源村,Line_7,南山
114.00023,22.562896,深云,Line_7,福田
114.012447,22.55542,安托山,Line_7,福田
114.024736,22.547009,农林,Line_7,福田
114.034671,22.542724,车公庙,Line_7,福田
114.041912,22.530652,上沙,Line_7,福田
114.049026,22.52678,沙尾,Line_7,福田
114.057632,22.522089,石厦,Line_7,福田
114.066058,22.528983,皇岗村,Line_7,福田
114.071358,22.5289,福民,Line_7,福田
114.080862,22.527247,皇岗口岸,Line_7,福田
114.090205,22.537929,赤尾,Line_7,福田
114.093331,22.543304,华强南,Line_7,福田
114.093277,22.550317,华强北,Line_7,福田
114.093259,22.555103,华新,Line_7,福田
114.093474,22.561828,黄木岗,Line_7,福田
114.099906,22.567902,八卦岭,Line_7,罗湖
114.110758,22.568319,红岭北,Line_7,罗湖
114.117693,22.569738,笋岗,Line_7,罗湖
114.129263,22.572474,洪湖,Line_7,罗湖
114.136539,22.573592,田贝,Line_7,罗湖
114.143402,22.579899,太安,Line_7,罗湖
113.977916,22.5292,红树湾南,Line_9,南山
113.985121,22.52945,深湾,Line_9,南山
113.999691,22.528065,深圳湾公园,Line_9,福田
114.030898,22.535292,下沙,Line_9,福田
114.034671,22.542724,车公庙,Line_9,福田
114.04608,22.551331,香梅,Line_9,福田
114.050446,22.559296,景田,Line_9,福田
114.044463,22.566484,梅景,Line_9,福田
114.048038,22.57139,下梅林,Line_9,福田
114.059015,22.57426,梅村,Line_9,福田
114.06604,22.574293,上梅林,Line_9,福田
114.074951,22.574226,孖岭,Line_9,罗湖
114.096295,22.574377,银湖,Line_9,罗湖
114.104344,22.573726,泥岗,Line_9,罗湖
114.110758,22.568319,红岭北,Line_9,罗湖
114.110866,22.562262,园岭,Line_9,罗湖
114.110991,22.555453,红岭,Line_9,罗湖
114.111207,22.546091,红岭南,Line_9,罗湖
114.115465,22.541735,鹿丹村,Line_9,罗湖
114.124466,22.541818,人民南,Line_9,罗湖
114.132263,22.546208,向西村,Line_9,罗湖
114.137437,22.548744,文锦,Line_9,罗湖
114.060902,22.545644,福田,Line_11,福田
114.034671,22.542724,车公庙,Line_11,福田
113.977916,22.5292,红树湾南,Line_11,南山
113.946925,22.523245,后海,Line_11,南山
113.930441,22.529768,南山,Line_11,南山
113.904183,22.542753,前海湾,Line_11,南山
113.886846,22.561052,宝安,Line_11,宝安
113.862727,22.581143,碧海湾,Line_11,宝安
113.820668,22.629287,机场,Line_11,宝安
113.804759,22.657331,机场北,Line_11,宝安
113.812592,22.679441,福永,Line_11,宝安
113.817452,22.693729,桥头,Line_11,宝安
113.82445,22.707841,塘尾,Line_11,宝安
113.823614,22.722601,马安山,Line_11,宝安
113.830963,22.736093,沙井,Line_11,宝安
113.833388,22.758332,后亭,Line_11,宝安
113.836155,22.777993,松岗,Line_11,宝安
113.826534,22.79033,碧头,Line_11,宝安
