Lat,Lng,Station
22.56252637,114.0328307,梅景
22.56835543,114.0363743,下梅林
22.57121409,114.0477651,梅村
22.57219162,114.0546246,上梅林
22.57120132,114.0632675,孖岭
22.57148551,114.0845481,银湖
22.56945539,114.093714,泥岗
22.56471439,114.099205,红岭北
22.69281995,113.9363282,园岭
22.55104688,114.0994587,红岭
22.54196588,114.0996587,红岭南
22.5366979,114.1018034,鹿丹村
22.53820333,114.112929,人民南
22.54252835,114.1207478,向西村
22.54517011,114.1259206,文锦
22.52703414,113.9190378,地铁11号线
22.52552734,114.0498936,福田
22.53592929,114.0223887,车公庙
22.52601728,113.9668591,红树湾南
22.51287787,113.9272545,后海
22.53586241,113.9251234,南山
22.55673861,113.8790984,宝安
22.57982939,113.8548523,碧海湾
22.62781261,113.8085011,机场
22.65467542,113.7922511,机场北
22.55673861,113.8790984,福永
22.69094504,113.8058109,桥头
22.70733445,113.8043452,塘尾
22.71944869,113.8117708,马安山
22.74206478,113.8002755,沙井
22.75553233,113.821802,后亭
22.55673861,113.8790984,松岗
22.78620167,113.8149207,碧头
